cvm_code,trade_name,b3_trade_name,b3_issuer_code,b3_segment,b3_sector,available_years
20435,Tecnisa,TECNISA,TCSA,Incorporações,Consumo Cíclico,14
20451,RNI,RNI,RDNI,Incorporações,Consumo Cíclico,14
20478,PDG Realty,PDG REALT,PDGR,Incorporações,Consumo Cíclico,14
20494,Iguatemi,IGUATEMI,IGTI,Exploração de Imóveis,Financeiro,14
20516,São Martinho,SAO MARTINHO,SMTO,Açucar e Álcool,Consumo não Cíclico,13
20524,Even,EVEN,EVEN,Incorporações,Consumo Cíclico,14
20532,Banco Santander,SANTANDER BR,SANB,Bancos,Financeiro,14
20540,CPFL RENOVAV,CPFL RENOVAV,CPRE,Energia Elétrica,Utilidade Pública,14
20567,Banco Pine,PINE,PINE,Bancos,Financeiro,14
20575,JBS,JBS,JBSS,Carnes e Derivados,Consumo não Cíclico,14
20605,JHSF,JHSF PART,JHSF,Incorporações,Consumo Cíclico,14
20613,Metalfrio,METALFRIO,FRIO,Máquinas e Equipamentos Industriais,Bens Industriais,14
20621,Fertilizantes Heringer,FER HERINGER,FHER,Fertilizantes e Defensivos,Materiais Básicos,14
20630,Fica,FICA,FIEI,Incorporações,Consumo Cíclico,14
20648,CEEE D,CEEE-D,CEED,Energia Elétrica,Utilidade Pública,14
20702,Viver,VIVER,VIVR,Incorporações,Consumo Cíclico,14
20710,Log-In,LOG-IN,LOGN,Transporte Hidroviário,Bens Industriais,14
20729,PARANA,PARANA,PRBC,Bancos,Financeiro,14
20745,SLC Agrícola,SLC AGRICOLA,SLCE,Agricultura,Consumo não Cíclico,14
20770,EZTEC,EZTEC,EZTC,Incorporações,Consumo Cíclico,14
20788,Marfrig,MARFRIG,MRFG,Carnes e Derivados,Consumo não Cíclico,14
20800,Tegma,TEGMA,TGMA,Transporte Rodoviário,Bens Industriais,14
20877,Helbor,HELBOR,HBOR,Incorporações,Consumo Cíclico,14
20915,MRV,MRV,MRVE,Incorporações,Consumo Cíclico,14
20931,Minerva,MINERVA,BEEF,Carnes e Derivados,Consumo não Cíclico,14
20958,Banco ABC Brasil,ABC BRASIL,ABCB,Bancos,Financeiro,14
20966,Springs,SPRINGS,SGPS,Fios e Tecidos,Consumo Cíclico,13
20982,Multiplan,MULTIPLAN,MULT,Exploração de Imóveis,Financeiro,14
20990,Americanas,AMERICANAS,AMER,Produtos Diversos,Consumo Cíclico,13
21008,General Shopping & Outlets,GENERALSHOPP,GSHP,Exploração de Imóveis,Financeiro,14
21016,YDUQS,YDUQS PART,YDUQ,Serviços Educacionais,Consumo Cíclico,14
21024,VIAOESTE,VIAOESTE,VOES,Exploração de Rodovias,Bens Industriais,13
21032,ALGAR TELEC,ALGAR TELEC,ALGT,Telecomunicações,Comunicações,14
21040,SYN,SYN PROP TEC,SYNE,Exploração de Imóveis,Financeiro,14
21067,Moura Dubeux,MOURA DUBEUX,MDNE,Incorporações,Consumo Cíclico,14
21091,Dexco,DEXCO,DXCO,Madeira,Materiais Básicos,14
21121,SulAmérica,SUL AMERICA,SULA,Seguradoras,Financeiro,12
21130,Trisul,TRISUL,TRIS,Incorporações,Consumo Cíclico,14
21148,Construtora Tenda,TENDA,TEND,Incorporações,Consumo Cíclico,14
21156,J.MACEDO,J.MACEDO,JMCD,Alimentos Diversos,Consumo não Cíclico,14
21180,Brasil Brokers,NEXPE,NEXP,Intermediação Imobiliária,Financeiro,14
21199,Banco Pan,BANCO PAN,BPAN,Bancos,Financeiro,14
21237,Eneva,ENEVA,ENEV,Energia Elétrica,Utilidade Pública,14
21334,Nutriplant,NUTRIPLANT,NUTR,Fertilizantes e Defensivos,Materiais Básicos,14
21342,OSX Brasil,OSX BRASIL,OSXB,Equipamentos e Serviços,"Petróleo, Gás e Biocombustíveis",14
21350,Direcional,DIRECIONAL,DIRR,Incorporações,Consumo Cíclico,14
21393,CELGPAR,CELGPAR,GPAR,Energia Elétrica,Utilidade Pública,14
21431,Hypera,HYPERA,HYPE,Medicamentos e Outros Produtos,Saúde,14
21440,LE LIS BLANC,VESTE,VSTE,"Tecidos, Vestuário e Calçados",Consumo Cíclico,14
21490,Alupar,ALUPAR,ALUP,Energia Elétrica,Utilidade Pública,14
21555,UNIDAS,UNIDAS,UNID,Aluguel de Carros,Consumo Cíclico,13
21610,B3,B3,B3SA,Serviços Financeiros Diversos,Financeiro,14
